Publisher Name,Type,Location,Country,Genres/Focus,Contact Email,Phone,Address,Website,Submissions Email,Annual Output,Has Audiobooks,Priority Tier,Notes
Asabi Publishing,Traditional,USA,USA,"Biography, memoir, travel guides",Via website,N/A,N/A,asabipublishing.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Diverse nonfiction"
Amble Press,Traditional,USA,USA,"POC and queer writers, memoir, biography",Via website,N/A,N/A,amblepress.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Diverse voices"
Agate Publishing,Traditional,Chicago IL,USA,"Fiction, nonfiction, memoirs",Via website,N/A,IL,agatepublishing.com,Via website,N/A,Unknown,High,"Chicago indie"
Belt Publishing,Traditional,Cleveland OH,USA,"Rust Belt perspectives",Via website,N/A,OH,beltpublishing.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Since 2013"
Two Dollar Radio,Traditional,Columbus OH,USA,"Literary fiction, diverse voices",Via website,N/A,OH,twodollarradio.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Columbus indie"
University of Nebraska Press,Academic,Lincoln NE,USA,"History, Native American, regional",Via website,N/A,NE,nebraskapress.unl.edu,Via website,150,Unknown,High,"5 imprints"
Kregel Publications,Traditional,Grand Rapids MI,USA,"Christian living, biblical studies, fiction",Via website,N/A,MI,kregel.com,Via website,N/A,Unknown,High,"Since 1949"
Holy Cow! Press,Traditional,Duluth MN,USA,"Poetry, Native American, Midwest",Via website,N/A,MN,holycowpress.org,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Since 1977"
BelleBooks,Traditional,Atlanta GA,USA,"Southern fiction",Via website,N/A,GA,bellebooks.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Southern focus"
Sandlapper Publishing,Traditional,South Carolina,USA,"Southern nonfiction, history, travel",Via website,N/A,SC,sandlapperpublishing.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Since 1983"
Hub City Press,Traditional,Spartanburg SC,USA,"Southern voices, literary",Via website,N/A,SC,hubcity.org,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Since 1995"
University of South Carolina Press,Academic,Columbia SC,USA,"Southern studies, history, scholarly",Via website,N/A,SC,sc.edu/uscpress,Via website,N/A,Unknown,High,"Since 1944"
Arcadia Publishing,Traditional,Charleston SC,USA,"Local history, Images of America",Via website,N/A,SC,arcadiapublishing.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Since 1993"
John F. Blair Publisher,Traditional,Winston-Salem NC,USA,"Regional nonfiction, history, travel",Via website,N/A,NC,blairpub.com,Via website,5-10,NO AUDIOBOOKS,TIER 1,"Southeast focus"
Warbranch Press,Traditional,Clemson SC,USA,"Children's and adult books",Via website,N/A,SC,warbranchpress.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Since 1998"
Cemetery Dance,Traditional,USA,USA,"Horror, dark fantasy",Via website,N/A,N/A,cemeterydance.com,Via website,N/A,Some,Medium,"Top horror press"
Crystal Lake Publishing,Traditional,USA,USA,"Dark fiction, horror, suspense",Via website,N/A,N/A,crystallakepub.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Bram Stoker Awards"
Dark Regions Press,Traditional,USA,USA,"Horror, dark fiction, sci-fi, fantasy",Via website,N/A,N/A,darkregions.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Since 1985"
Cemetery Gates Media,Traditional,USA,USA,"Horror, supernatural fiction",Via website,N/A,N/A,cemeterygatesmedia.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Since 2015"
Ghost Orchid Press,Traditional,UK,UK,"Horror, Gothic, supernatural",Via website,N/A,UK,ghostorchidpress.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Since 2021"
Hellbound Books Publishing,Traditional,USA,USA,"Horror, bizarro, dark fantasy",Via website,N/A,N/A,hellboundbookspublishing.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"First-time friendly"
Flame Tree Press,Traditional,UK,UK,"Horror, anthologies, illustrated",Via website,N/A,UK,flametreepublishing.com,Via website,N/A,Unknown,High,"Unique horror books"
Grindhouse Press,Traditional,USA,USA,"Horror, extreme horror, bizarro",Via website,N/A,N/A,grindhousepress.com,Via website,10-12,NO AUDIOBOOKS,TIER 1,"Since 2010"
JournalStone Publishing,Traditional,USA,USA,"Horror, mystery, suspense",Via website,N/A,N/A,journalstone.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"New author support"
Thunderstorm Books,Traditional,USA,USA,"Horror all subgenres",Via website,N/A,N/A,thunderstormbooks.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Limited editions"
Quill & Crow Publishing,Traditional,USA,USA,"Gothic fiction, horror, poetry",Via website,N/A,N/A,quillandcrowpublishinghouse.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Indie literary horror"
Haunt Publishing,Traditional,UK,UK,"Gothic, horror, dark fiction",Via website,N/A,UK,hauntpublishing.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"UK horror indie"
Arkham House,Traditional,Wisconsin,USA,"Weird fiction, Lovecraftian",Via website,N/A,WI,arkhamhouse.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Since 1939"
Bag of Bones Press,Traditional,UK,UK,"Horror, dark fiction",Via website,N/A,UK,bagofbonespress.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Since 2021"
Dead Sky Publishing,Traditional,USA,USA,"Literary horror, noir, thriller",Via website,N/A,N/A,deadskypublishing.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Death's Head imprint"
Creature Horror,Traditional,Virginia,USA,"Feminist horror, dark speculative",Via website,N/A,VA,creaturehorror.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"VA-based"
Sinister Grin Press,Traditional,USA,USA,"Edgy, dark horror",Via website,N/A,N/A,sinistergrinpress.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Shock and suspense"
Tor Teen,Traditional,NYC,USA,"YA sci-fi, fantasy, general fiction",Via website,N/A,NYC,tor.com,Via website,N/A,Some,Medium,"Macmillan imprint"
Dancing Cat Books,Traditional,Toronto,Canada,"Children's, YA literary fiction/nonfiction/poetry",Via website,N/A,Toronto,cormorantbooks.com,Cormorant imprint,N/A,NO AUDIOBOOKS,TIER 1,"Canadian YA"
Entangled Teen,Traditional,USA,USA,"YA romance all genres",Via website,N/A,N/A,entangledpublishing.com,Via website,N/A,Some,Medium,"Teen Crush/Crave"
Flux Books,Traditional,USA,USA,"YA fiction exclusively",Via website,N/A,N/A,fluxbooks.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"North Star Editions"
CamCat Books,Traditional,USA,USA,"YA fiction (16+), adult fiction",Via website,N/A,N/A,camcatbooks.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Since 2019"
Cranachan Publishing,Traditional,Isle of Lewis,UK,"Scottish children's and YA",Via website,N/A,Scotland,cranachanpublishing.co.uk,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Scottish flavour"
Abingdon Press,Traditional,Nashville TN,USA,"Methodist, Christian living",Via website,N/A,TN,abingdonpress.com,Via website,N/A,Unknown,High,"United Methodist"
Zondervan,Traditional,Grand Rapids MI,USA,"Christian books, bibles",Via agent,N/A,MI,zondervan.com,Agent required,N/A,Yes,Low,"HarperCollins"
B&H Publishing,Traditional,Nashville TN,USA,"Christian books, CSB Bible",Via website,N/A,TN,bhpublishinggroup.com,Via website,N/A,Unknown,High,"Lifeway Resources"
Bethany House,Traditional,Minneapolis MN,USA,"Christian fiction and nonfiction",Via website,N/A,MN,bethanyhouse.com,Via website,75+,Unknown,High,"50+ years"
Gilead Books,Nonprofit,UK,UK,"Christian fiction, first-time authors",Via website,N/A,UK,gileadbooks.co.uk,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Since 2007"
Flyaway Books,Traditional,USA,USA,"Christian children's picture books",Via website,N/A,N/A,flyawaybooks.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"WJK affiliate"
Spirit Media,Traditional,USA,USA,"Christian books, global authors",Via website,N/A,N/A,spiritmediabooks.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Since 2022"
Wipf and Stock,Traditional,Oregon,USA,"Christian theology, academic",Via website,N/A,OR,wipfandstock.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Content excellence"
Paulist Press,Traditional,USA,USA,"Catholic books, Paulist Fathers",Via website,N/A,N/A,paulistpress.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Since 1858"
Ignatius Press,Traditional,San Francisco CA,USA,"Catholic fiction, nonfiction, children's",Via website,N/A,SF,ignatius.com,Via website,N/A,Unknown,High,"Since 1970s"
Ave Maria Press,Traditional,Indiana,USA,"Catholic textbooks, spirituality",Via website,N/A,IN,avemariapress.com,Via website,N/A,Unknown,High,"Holy Cross"
Baylor University Press,Academic,Waco TX,USA,"Academic faith-based, religion",Via website,N/A,TX,baylorpress.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Since 1897"
SVS Press,Traditional,New York,USA,"Orthodox Christian, theology",Via website,N/A,NY,svspress.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Since 1968"
Herald Press,Traditional,USA,USA,"Anabaptist, Mennonite, Amish",Via website,N/A,N/A,heraldpress.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Denominational"
InterVarsity Press,Traditional,Illinois,USA,"Christian, academic, ministry",Via website,N/A,IL,ivpress.com,Via website,N/A,Some,Medium,"70+ years"
Crossway,Nonprofit,Illinois,USA,"Christian gospel, ministry",Via website,N/A,IL,crossway.org,Via website,N/A,Some,Medium,"Nonprofit ministry"
Gibbs Smith,Traditional,Utah,USA,"Cookbooks, lifestyle, home, children's",Via website,N/A,UT,gibbs-smith.com,Via website,N/A,Unknown,High,"Accepts unagented"
Hardie Grant Books,Traditional,Australia/UK,Australia/UK,"Food, lifestyle, gift books",Via website,N/A,AU/UK,hardiegrant.com,Via website,N/A,Unknown,High,"Unagented OK"
Cider Mill Press,Traditional,Maine,USA,"Cookbooks, cocktails, gifts",Via website,N/A,ME,cidermillpress.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Since 2005"
Tuttle Publishing,Traditional,USA,USA,"Asian culture, cookbooks, language",Via website,N/A,N/A,tuttlepublishing.com,Via website,150,NO AUDIOBOOKS,TIER 1,"6000+ titles"
Phaidon Press,Traditional,UK/USA,UK/USA,"Arts, design, food, culture",Via website,N/A,UK/USA,phaidon.com,Priority to agents,N/A,Unknown,Medium,"High design"
Quail Ridge Press,Traditional,USA,USA,"Regional cookbooks, nonfiction",Via website,N/A,N/A,quailridge.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Regional specialty"
Sasquatch Books,Traditional,Seattle WA,USA,"Food, wine, travel, gardening",Via website,N/A,WA,sasquatchbooks.com,Via website,N/A,Unknown,High,"Leading indie"
Burford Books,Traditional,Ithaca NY,USA,"Outdoors, food, wine, travel",Via website,N/A,NY,burfordbooks.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Outdoor specialty"
Camino Books,Traditional,Philadelphia PA,USA,"Mid-Atlantic nonfiction, cookbooks",Via website,N/A,PA,caminobooks.com,Via website,6-10,NO AUDIOBOOKS,TIER 1,"Regional focus"
Burgess Lea Press,Traditional,USA,USA,"Chef cookbooks, food philanthropy",Via website,N/A,N/A,burgessleapress.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Restaurant books"
Storey Publishing,Traditional,Massachusetts,USA,"Gardening, cooking, DIY, homesteading",Via website,N/A,MA,storey.com,Via website,N/A,Unknown,High,"Workman imprint"
Whitecap Books,Traditional,Vancouver BC,Canada,"Food, wine, health, regional",Via website,N/A,BC,whitecap.ca,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Canadian publisher"
Academica Press,Academic,London/DC,USA/UK,"Humanities, social sciences, law",Via website,N/A,London/DC,academicapress.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Independent scholarly"
John Benjamins,Academic,Netherlands,Netherlands,"Linguistics, academic",Via website,N/A,NL,benjamins.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Family-owned"
Fordham University Press,Academic,NYC,USA,"Humanities, social sciences, Catholic",Via website,N/A,NYC,fordhampress.com,Via website,90,NO AUDIOBOOKS,TIER 1,"Since 1907"
Edinburgh University Press,Academic,Edinburgh,UK,"Humanities, social sciences",Via website,N/A,Edinburgh,edinburghuniversitypress.com,Via website,N/A,Unknown,High,"Scottish academic"
Edward Elgar Publishing,Academic,UK/USA,UK/USA,"Social sciences, legal, business",Via website,N/A,UK/USA,e-elgar.com,Via website,350,NO AUDIOBOOKS,TIER 1,"Leading academic"
Palgrave Macmillan,Academic,UK,UK,"Academic across disciplines",Via website,N/A,UK,palgrave.com,Via website,N/A,Unknown,Medium,"Springer Nature"
Bristol University Press,Academic,Bristol,UK,"Social sciences, politics",Via website,N/A,UK,bristoluniversitypress.co.uk,Via website,N/A,NO AUDIOBOOKS,TIER 1,"UK academic"
Liverpool University Press,Academic,Liverpool,UK,"Humanities, social sciences",Via website,N/A,UK,liverpooluniversitypress.co.uk,Via website,N/A,NO AUDIOBOOKS,TIER 1,"UK academic"
Manchester University Press,Academic,Manchester,UK,"Humanities, social sciences",Via website,N/A,UK,manchesteruniversitypress.co.uk,Via website,N/A,Unknown,High,"UK academic"
Cornell University Press,Academic,Ithaca NY,USA,"Academic across disciplines",Via website,N/A,NY,cornellpress.cornell.edu,Via website,N/A,Unknown,Medium,"Ivy League press"
Duke University Press,Academic,Durham NC,USA,"Academic across disciplines",Via website,N/A,NC,dukeupress.edu,Via website,N/A,Unknown,Medium,"Academic leader"
Johns Hopkins University Press,Academic,Baltimore MD,USA,"Academic across disciplines",Via website,N/A,MD,press.jhu.edu,Via website,N/A,Unknown,Medium,"Leading academic"
University of Chicago Press,Academic,Chicago IL,USA,"Academic across disciplines",Via website,N/A,IL,press.uchicago.edu,Via website,N/A,Some,Medium,"Major academic"
Yale University Press,Academic,New Haven CT,USA,"Academic, art, history",Via website,N/A,CT,yalebooks.yale.edu,Via website,N/A,Some,Medium,"Ivy League press"
Princeton University Press,Academic,Princeton NJ,USA,"Academic across disciplines",Via website,N/A,NJ,press.princeton.edu,Via website,N/A,Some,Medium,"Ivy League press"
MIT Press,Academic,Cambridge MA,USA,"Science, technology, arts",Via website,N/A,MA,mitpress.mit.edu,Via website,N/A,Unknown,High,"Tech/science focus"
Stanford University Press,Academic,Stanford CA,USA,"Academic across disciplines",Via website,N/A,CA,sup.org,Via website,N/A,Unknown,High,"Selective academic"
Columbia University Press,Academic,NYC,USA,"Academic across disciplines",Via website,N/A,NYC,cup.columbia.edu,Via website,N/A,Some,Medium,"Ivy League press"
Harvard University Press,Academic,Cambridge MA,USA,"Academic across disciplines",Via website,N/A,MA,hup.harvard.edu,Via website,N/A,Some,Medium,"Ivy League press"
Oxford University Press,Academic,Oxford/NYC,UK/USA,"Academic across disciplines",Via website,N/A,UK/USA,oup.com,Via website,N/A,Yes,Low,"Major academic"
Cambridge University Press,Academic,Cambridge,UK,"Academic across disciplines",Via website,N/A,UK,cambridge.org,Via website,N/A,Yes,Low,"Major academic"
Beacon Press,Nonprofit,Boston MA,USA,"Social issues, religion, history",Via website,N/A,MA,beacon.org,Via website,N/A,Some,Medium,"UUA nonprofit"
Island Press,Nonprofit,Washington DC,USA,"Environment, sustainability",Via website,N/A,DC,islandpress.org,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Environmental"
New Society Publishers,Traditional,Canada,Canada,"Sustainability, social justice",Via website,N/A,BC,newsociety.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Environmental"
Haymarket Books,Nonprofit,Chicago IL,USA,"Radical politics, social movements",Via website,N/A,IL,haymarketbooks.org,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Nonprofit political"
Verso Books,Traditional,London/NYC,UK/USA,"Left politics, theory, culture",Via website,N/A,UK/USA,versobooks.com,Via website,N/A,Unknown,High,"Since 1970"
The New Press,Nonprofit,NYC,USA,"Social issues, politics, education",Via website,N/A,NYC,thenewpress.com,Via website,N/A,Unknown,High,"Public interest"
Seven Stories Press,Traditional,NYC,USA,"Politics, social issues, progressive",Via website,N/A,NYC,sevenstories.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Independent"
OR Books,Traditional,NYC,USA,"Politics, current affairs",Via website,N/A,NYC,orbooks.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Direct sales"
Melville House,Traditional,Brooklyn NY,USA,"Literary fiction, nonfiction, politics",Via website,N/A,NY,mhpbooks.com,Via website,N/A,Unknown,High,"Last Interview series"
Europa Editions,Traditional,NYC,USA,"Literary fiction, translations, noir",Via website,N/A,NYC,europaeditions.com,Via website,N/A,Unknown,High,"Ferrante publisher"
Catapult,Traditional,NYC,USA,"Literary fiction, memoir, essays",Via website,N/A,NYC,catapult.co,Via website,N/A,Unknown,High,"Counterpoint imprint"
Counterpoint Press,Traditional,Berkeley CA,USA,"Literary fiction, nonfiction, nature",Via website,N/A,CA,counterpointpress.com,Via website,N/A,Unknown,High,"Multiple imprints"
Pushkin Press,Traditional,London,UK,"Literary fiction, translations, classics",Via website,N/A,UK,pushkinpress.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"UK literary"
Canongate Books,Traditional,Edinburgh,UK,"Literary fiction, nonfiction, narrative",Via website,N/A,UK,canongate.co.uk,Via website,N/A,Some,Medium,"Scottish indie"
Granta Books,Traditional,London,UK,"Literary fiction, memoir, reportage",Via website,N/A,UK,granta.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Granta magazine"
Atlantic Books,Traditional,London,UK,"Literary fiction, narrative nonfiction",Via website,N/A,UK,atlantic-books.co.uk,Via website,N/A,Some,Medium,"UK independent"
Oneworld Publications,Traditional,London,UK,"Literary fiction, nonfiction, translations",Via website,N/A,UK,oneworld-publications.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Booker winners"
Legend Press,Traditional,London,UK,"Literary fiction, crime, commercial",Via website,N/A,UK,legendpress.co.uk,Via website,N/A,Unknown,High,"UK independent"
Unbound,Hybrid,London,UK,"Crowdfunded all genres",Via website,Crowdfunded,UK,unbound.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Crowdfunding"
Eye Books,Traditional,London,UK,"Travel, adventure, memoir",Via website,N/A,UK,eye-books.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Adventure travel"
Bradt Travel Guides,Traditional,UK,UK,"Travel guides",Via website,N/A,UK,bradtguides.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Travel publisher"
Biteback Publishing,Traditional,London,UK,"Politics, current affairs, biography",Via website,N/A,UK,bitebackpublishing.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"UK political"
Duckworth Books,Traditional,London,UK,"Literary fiction, nonfiction, classics",Via website,N/A,UK,duckworthbooks.co.uk,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Since 1898"
Michael O'Mara Books,Traditional,London,UK,"Nonfiction, puzzles, humor, biography",Via website,N/A,UK,mombooks.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"UK independent"
Quadrille,Traditional,London,UK,"Cooking, lifestyle, craft, illustrated",Via website,N/A,UK,quadrille.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Hardie Grant"
Affirm Press,Traditional,Melbourne,Australia,"Literary fiction, nonfiction",Via website,N/A,AU,affirmpress.com.au,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Australian indie"
Text Publishing,Traditional,Melbourne,Australia,"Literary fiction, nonfiction",Via website,N/A,AU,textpublishing.com.au,Via website,N/A,Some,Medium,"Australian literary"
Scribe Publications,Traditional,Melbourne,Australia,"Literary nonfiction, current affairs",Via website,N/A,AU,scribepublications.com.au,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Australian indie"
Black Inc,Traditional,Melbourne,Australia,"Essays, politics, current affairs",Via website,N/A,AU,blackincbooks.com.au,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Australian nonfiction"
Fremantle Press,Traditional,Fremantle WA,Australia,"Literary fiction, nonfiction, poetry",Via website,N/A,WA,fremantlepress.com.au,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Western Australia"
Greystone Books,Traditional,Vancouver BC,Canada,"Nature, science, sustainability",Via website,N/A,BC,greystonebooks.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Canadian environmental"
Douglas & McIntyre,Traditional,Vancouver BC,Canada,"BC/Canadian interest, First Nations",Via website,N/A,BC,douglas-mcintyre.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Canadian regional"
Arsenal Pulp Press,Traditional,Vancouver BC,Canada,"LGBTQ+, cultural studies, cooking",Via website,N/A,BC,arsenalpulp.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Canadian alternative"
Biblioasis,Traditional,Windsor ON,Canada,"Literary fiction, nonfiction, poetry",Via website,N/A,ON,biblioasis.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Canadian literary"
Wolsak and Wynn,Traditional,Hamilton ON,Canada,"Literary fiction, poetry, essays",Via website,N/A,ON,wolsakandwynn.ca,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Canadian indie"
Freehand Books,Traditional,Calgary AB,Canada,"Literary fiction",Via website,N/A,AB,freehand-books.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Canadian literary"
NeWest Press,Traditional,Edmonton AB,Canada,"Western Canadian, literary",Via website,N/A,AB,newestpress.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Western Canadian"
Turnstone Press,Traditional,Winnipeg MB,Canada,"Literary fiction, poetry, Manitoba",Via website,N/A,MB,turnstonepress.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Manitoba focus"
Great Plains Publications,Traditional,Winnipeg MB,Canada,"Regional, literary, nonfiction",Via website,N/A,MB,greatplains.mb.ca,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Prairies focus"
Thistledown Press,Traditional,Saskatoon SK,Canada,"Literary fiction, poetry, YA",Via website,N/A,SK,thistledownpress.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Saskatchewan"
Goose Lane Editions,Traditional,Fredericton NB,Canada,"Literary fiction, nonfiction, poetry",Via website,N/A,NB,gooselane.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Atlantic Canada"
Nimbus Publishing,Traditional,Halifax NS,Canada,"Atlantic Canada, children's",Via website,N/A,NS,nimbus.ca,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Nova Scotia"
Breakwater Books,Traditional,St. John's NL,Canada,"Newfoundland interest",Via website,N/A,NL,breakwaterbooks.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Newfoundland"
Second Story Press,Traditional,Toronto,Canada,"Women's issues, children's, LGBTQ+",Via website,N/A,ON,secondstorypress.ca,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Women's/children's"
Orca Book Publishers,Traditional,Victoria BC,Canada,"Children's, YA, educational",Via website,N/A,BC,orcabook.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Canadian children's"
Groundwood Books,Traditional,Toronto,Canada,"Children's, YA, literary",Via website,N/A,ON,groundwoodbooks.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Anansi imprint"
Black Rose Writing,Traditional,Texas,USA,"Biography, memoir, business, history",Via website,N/A,TX,blackrosewriting.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Texas indie"
Unsolicited Press,Traditional,Portland OR,USA,"Literary novels, memoirs, nonfiction",Via website,$5 fee,OR,unsolicitedpress.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"No-frills"
Blackwater Press,Traditional,West Virginia,USA,"Fiction, nonfiction, essay, memoir",Via website,N/A,WV,blackwaterpress.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"International team"
Homebound Publications,Traditional,Connecticut,USA,"Creative nonfiction, literary fiction",Via website,N/A,CT,homeboundpublications.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Award-winning"
Amber Allen Publishing,Traditional,San Rafael CA,USA,"Personal development, inspirational",Via website,N/A,CA,amberallen.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"General audience"
Llewellyn Worldwide,Traditional,Woodbury MN,USA,"Body, mind, spirit, self-development",Via website,N/A,MN,llewellyn.com,Via website,N/A,Some,Medium,"Since 1901"
Conari Press,Traditional,Miami FL,USA,"Relationships, spirituality, self-help",Via Mango,N/A,FL,conari.com,Via Mango,N/A,NO AUDIOBOOKS,TIER 1,"Mango imprint"
Hampton Roads Publishing,Traditional,Virginia,USA,"Metaphysics, spirituality, health",Via Red Wheel,N/A,VA,redwheelweiser.com,Via Red Wheel,N/A,NO AUDIOBOOKS,TIER 1,"Red Wheel family"
New Page Books,Traditional,USA,USA,"Alternative history, unexplained, pop culture",Via Red Wheel,N/A,N/A,newpagebooks.com,Via Red Wheel,N/A,NO AUDIOBOOKS,TIER 1,"Red Wheel family"
Weiser Books,Traditional,San Francisco CA,USA,"Esoteric, occult, spirituality",Via Red Wheel,N/A,CA,redwheelweiser.com,Via Red Wheel,N/A,NO AUDIOBOOKS,TIER 1,"Red Wheel family"
Shambhala Publications,Traditional,Boulder CO,USA,"Buddhism, meditation, mindfulness",Via website,N/A,CO,shambhala.com,Via website,N/A,Some,Medium,"Eastern philosophy"
Wisdom Publications,Traditional,Somerville MA,USA,"Buddhism, meditation, spiritual",Via website,N/A,MA,wisdompubs.org,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Buddhist nonprofit"
Parallax Press,Traditional,Berkeley CA,USA,"Mindfulness, Buddhism",Via website,N/A,CA,parallax.org,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Thich Nhat Hanh"
Quest Books,Traditional,Wheaton IL,USA,"Spirituality, philosophy, world religions",Via website,N/A,IL,questbooks.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Theosophical"
Monkfish Book Publishing,Traditional,Rhinebeck NY,USA,"Spirituality, psychology, wisdom",Via website,N/A,NY,monkfishpublishing.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Independent spiritual"
Lantern Publishing & Media,Traditional,NYC,USA,"Social justice, animal rights, ethics",Via website,N/A,NYC,lanternpublishing.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Social justice"
Inner Ocean Publishing,Traditional,Hawaii,USA,"Personal growth, spirituality",Via website,N/A,HI,innerocean.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Hawaiian indie"
Beyond Words Publishing,Traditional,Oregon,USA,"Self-help, spirituality, children's",Via website,N/A,OR,beyondword.com,Via website,N/A,Some,Medium,"Simon & Schuster partner"
North Atlantic Books,Traditional,Berkeley CA,USA,"Alternative health, spirituality, martial arts",Via website,N/A,CA,northatlanticbooks.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Since 1974"
Blue Star Press,Traditional,Oregon,USA,"Wellness, creativity, personal development",Via website,N/A,OR,bluestarpress.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"PRH distribution"
Microcosm Publishing,Traditional,Portland OR,USA,"DIY, zines, radical politics",Via website,N/A,OR,microcosmpublishing.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Alternative culture"
Seal Press,Traditional,NYC,USA,"Women's issues, feminism, memoir",Via Hachette,N/A,NYC,sealpress.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Hachette imprint"
Girl Friday Productions,Traditional,Seattle WA,USA,"Book production services, some publishing",Via website,N/A,WA,girlfridayproductions.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Seattle indie"
